,Inp,Out,epoh,loss
0,1,100,35,0.08659822940826416
1,2,99,37,0.6579998254776
2,3,98,39,0.1666893720626831
3,4,97,35,0.3077913045883179
4,5,96,39,0.11545970439910888
5,6,95,36,0.4482041001319885
6,7,94,36,0.35652482509613037
7,8,93,33,0.5245299220085144
8,9,92,33,0.4394826412200928
9,10,91,30,0.32611396312713625
10,11,90,33,0.42677083015441897
11,12,89,39,0.2793325185775757
12,13,88,35,0.28317980766296386
13,14,87,32,0.31538779735565187
14,15,86,37,0.6029921650886536
15,16,85,37,0.30187737941741943
16,17,84,30,0.3157018184661865
17,18,83,35,0.4115308284759521
18,19,82,30,0.37275118827819825
19,20,81,39,1.0513995885849
20,21,80,32,0.7966285467147827
21,22,79,38,0.5548237323760986
22,23,78,32,0.31760218143463137
23,24,77,30,0.3261812925338745
24,25,76,31,0.37921226024627686
25,26,75,33,0.2676726937294006
26,27,74,33,0.28669033050537107
27,28,73,39,0.8630414009094238
28,29,72,37,0.2640893220901489
29,30,71,37,0.518287205696106
30,31,70,36,0.3907334327697754
31,32,69,34,0.2841015100479126
32,33,68,38,0.4430140256881714
33,34,67,34,0.41530585289001465
34,35,66,35,0.662231194972992
35,36,65,31,0.47288228273391725
36,37,64,38,0.5318636894226074
37,38,63,39,0.627975332736969
38,39,62,34,0.33347105979919434
39,40,61,33,0.30968263149261477
40,41,60,37,0.28560850620269773
41,42,59,38,0.29011828899383546
42,43,58,34,0.4599646329879761
43,44,57,34,0.2692786931991577
44,45,56,37,0.49292831420898436
45,46,55,35,0.333294141292572
46,47,54,39,0.31666443347930906
47,48,53,39,0.36799330711364747
48,49,52,36,0.3333431839942932
49,50,51,30,0.44400634765625
50,51,50,35,0.5496804475784302
51,52,49,38,0.27985806465148927
52,53,48,37,0.2921561598777771
53,54,47,35,0.34999210834503175
54,55,46,38,0.28474740982055663
55,56,45,36,0.3025901079177856
56,57,44,34,0.4284708023071289
57,58,43,34,0.336910343170166
58,59,42,35,0.3075843334197998
59,60,41,39,0.30441492795944214
60,61,40,37,0.5492213487625122
61,62,39,34,0.3584586620330811
62,63,38,36,0.32062908411026003
63,64,37,31,0.3522535562515259
64,65,36,33,0.28185086250305175
65,66,35,31,0.2727279305458069
66,67,34,32,0.3351972222328186
67,68,33,37,0.32093803882598876
68,69,32,39,0.30159156322479247
69,70,31,33,0.2880635499954224
70,71,30,31,0.2874805212020874
71,72,29,33,0.33225264549255373
72,73,28,35,0.2744790315628052
73,74,27,30,0.33561632633209226
74,75,26,31,0.3196223735809326
75,76,25,33,0.44690855741500857
76,77,24,32,0.34923064708709717
77,78,23,35,0.2912983655929565
78,79,22,32,0.38640847206115725
79,80,21,37,0.3024599075317383
80,81,20,32,0.16969006061553954
81,82,19,38,0.5648385524749756
82,83,18,30,0.2780164361000061
83,84,17,34,0.3481812715530396
84,85,16,34,0.2690562725067139
85,86,15,31,0.2782056093215942
86,87,14,36,0.08030140399932861
87,88,13,35,0.17371742725372313
88,89,12,34,0.3437396764755249
89,90,11,34,0.3330798625946045
90,91,10,33,0.29505871534347533
91,92,9,33,0.20479969978332518
92,93,8,35,0.3616070032119751
93,94,7,34,0.21587817668914794
94,95,6,38,0.08306231498718261
95,96,5,36,0.08596785068511963
96,97,4,38,0.08240954875946045
97,98,3,31,0.16013031005859374
98,99,2,31,0.0845752477645874
